,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
25347,91,0.003435434000493842,4.0,25411.0,31,1000,31
25348,92,0.0034649790004550596,4.0,25412.0,31,1000,31
25349,93,0.0034962979998454102,4.0,25413.0,31,1000,31
25350,94,0.0035243909997006995,4.0,25414.0,31,1000,31
25351,95,0.0035559899997679167,4.0,25415.0,31,1000,31
25352,96,0.003586136999729206,4.0,25416.0,31,1000,31
25353,97,0.0036160330000711838,4.0,25417.0,31,1000,31
25354,98,0.0036475320002864464,4.0,25418.0,31,1000,31
25355,99,0.0036777479999727802,4.0,25419.0,31,1000,31
25356,100,0.0037081460004628752,4.0,25420.0,31,1000,31
25357,101,0.0037403260002975003,4.0,25421.0,31,1000,31
25358,102,0.003772887000195624,4.0,25422.0,31,1000,31
25359,103,0.003804777000368631,4.0,25423.0,31,1000,31
25360,104,0.003837719000330253,4.0,25424.0,31,1000,31
25361,105,0.003870229999847652,4.0,25425.0,31,1000,31
25362,106,0.0039028009996400215,4.0,25426.0,31,1000,31
25363,107,0.003936033000172756,4.0,25427.0,31,1000,31
25364,108,0.003968343999986246,4.0,25428.0,31,1000,31
25365,109,0.004003289000138466,4.0,25429.0,31,1000,31
25366,110,0.004034837999824958,4.0,25430.0,31,1000,31
25367,111,0.004068250999807788,4.0,25431.0,31,1000,31
25368,112,0.0040989689996422385,4.0,25432.0,31,1000,31
25369,113,0.004133993999857921,4.0,25433.0,31,1000,31
25370,114,0.004167658000369556,4.0,25434.0,31,1000,31
25371,115,0.004202762999739207,4.0,25435.0,31,1000,31
25372,116,0.004238280000208761,4.0,25436.0,31,1000,31
25373,117,0.004272854999726405,4.0,25437.0,31,1000,31
25374,118,0.004308110999772907,4.0,25438.0,31,1000,31
25375,119,0.00434377800047514,4.0,25439.0,31,1000,31
25376,120,0.004379044000415888,4.0,25440.0,31,1000,31
25377,121,0.004415782999785733,4.0,25441.0,31,1000,31
25378,122,0.004452701999980491,4.0,25442.0,31,1000,31
25379,123,0.004487557999709679,4.0,25443.0,31,1000,31
25380,124,0.004523053999946569,4.0,25444.0,31,1000,31
25381,125,0.004562588000226242,4.0,25445.0,31,1000,31
25382,126,0.004603415000019595,4.0,25446.0,31,1000,31
25383,127,0.004643639999812876,4.0,25447.0,31,1000,31
25384,128,0.0046849379996274365,4.0,25448.0,31,1000,31
25385,129,0.00472574400009762,4.0,25449.0,31,1000,31
25386,130,0.0047660099999120575,4.0,25450.0,31,1000,31
25387,131,0.0048060950002764,4.0,25451.0,31,1000,31
25388,132,0.004843085000175051,4.0,25452.0,31,1000,31
25389,133,0.004885303999799362,4.0,25453.0,31,1000,31
25390,134,0.0049257199998464785,4.0,25454.0,31,1000,31
25391,135,0.004965443999935815,4.0,25455.0,31,1000,31
25392,136,0.005009636999602662,4.0,25456.0,31,1000,31
25393,137,0.005051496000305633,4.0,25457.0,31,1000,31
25394,138,0.005094365999866568,4.0,25458.0,31,1000,31
25395,139,0.005136374999892723,4.0,25459.0,31,1000,31
25396,140,0.005178714000066975,4.0,25460.0,31,1000,31
25397,141,0.005222787000093376,4.0,25461.0,31,1000,31
25398,142,0.005264184999759891,4.0,25462.0,31,1000,31
25399,143,0.005308918999617163,4.0,25463.0,31,1000,31
25400,144,0.005354623999664909,4.0,25464.0,31,1000,31
25401,145,0.005399689000114449,4.0,25465.0,31,1000,31
25402,146,0.005444342999908258,4.0,25466.0,31,1000,31
25403,147,0.005489367000336642,4.0,25467.0,31,1000,31
25404,148,0.0055334899998342735,4.0,25468.0,31,1000,31
25405,149,0.0055899859999044565,4.0,25469.0,31,1000,31
25406,150,0.005633306999698107,4.0,25470.0,31,1000,31
25407,151,0.005677660000401374,4.0,25471.0,31,1000,31
25408,152,0.005719388999750663,4.0,25472.0,31,1000,31
25409,153,0.005765795999650436,4.0,25473.0,31,1000,31
25410,154,0.005819717000122182,4.0,25474.0,31,1000,31
25411,155,0.005864401000508224,4.0,25475.0,31,1000,31
25412,156,0.005908793999878981,4.0,25476.0,31,1000,31
25413,157,0.005951783999989857,4.0,25477.0,31,1000,31
25414,158,0.005997821000164549,4.0,25478.0,31,1000,31
25415,159,0.006044278000445047,4.0,25479.0,31,1000,31
25416,160,0.006090664999646833,4.0,25480.0,31,1000,31
25417,161,0.00613706199965236,4.0,25481.0,31,1000,31
25418,162,0.006183899999996356,4.0,25482.0,31,1000,31
25419,163,0.006229345000065223,4.0,25483.0,31,1000,31
25420,164,0.006271954999647278,4.0,25484.0,31,1000,31
25421,165,0.006318562000160455,4.0,25485.0,31,1000,31
25422,166,0.006364779000250564,4.0,25486.0,31,1000,31
25423,167,0.006410445000256004,4.0,25487.0,31,1000,31
25424,168,0.006457172000409628,4.0,25488.0,31,1000,31
25425,169,0.006505213000309595,4.0,25489.0,31,1000,31
25426,170,0.006552361000103701,4.0,25490.0,31,1000,31
25427,171,0.006604729000173393,4.0,25491.0,31,1000,31
25428,172,0.006653100000221457,4.0,25492.0,31,1000,31
25429,173,0.006703734999973676,4.0,25493.0,31,1000,31
25430,174,0.006753097000000707,4.0,25494.0,31,1000,31
25431,175,0.006802771000366192,4.0,25495.0,31,1000,31
25432,176,0.0068521929997586994,4.0,25496.0,31,1000,31
25433,177,0.006901284999912605,4.0,25497.0,31,1000,31
25434,178,0.0069497160002356395,4.0,25498.0,31,1000,31
25435,179,0.006997264999881736,4.0,25499.0,31,1000,31
25436,180,0.007045987000310561,4.0,25500.0,31,1000,31
25437,181,0.007095900000422262,4.0,25501.0,31,1000,31
25438,182,0.007147637999878498,4.0,25502.0,31,1000,31
25439,183,0.007198051999694144,4.0,25503.0,31,1000,31
25440,184,0.007249328000398236,4.0,25504.0,31,1000,31
25441,185,0.007300473999748647,4.0,25505.0,31,1000,31
25442,186,0.007351139000093099,4.0,25506.0,31,1000,31
25443,187,0.007404279000184033,4.0,25507.0,31,1000,31
25444,188,0.007456848000401806,4.0,25508.0,31,1000,31
25445,189,0.007509396000386914,4.0,25509.0,31,1000,31
25446,190,0.007562666000012541,4.0,25510.0,31,1000,31
25447,191,0.007615956000336155,4.0,25511.0,31,1000,31
25448,192,0.007666630999665358,4.0,25512.0,31,1000,31
25449,193,0.007716715000242402,4.0,25513.0,31,1000,31
25450,194,0.0077669089996561524,4.0,25514.0,31,1000,31
25451,195,0.007820810000339407,4.0,25515.0,31,1000,31
25452,196,0.007875823000176752,4.0,25516.0,31,1000,31
25453,197,0.007930255999781366,4.0,25517.0,31,1000,31
25454,198,0.007983935999618552,4.0,25518.0,31,1000,31
25455,199,0.008037657000386389,4.0,25519.0,31,1000,31
25456,200,0.008092699999906472,4.0,25520.0,31,1000,31
25457,201,0.00815401500040025,4.0,25521.0,31,1000,31
25458,202,0.008209829999941576,4.0,25522.0,31,1000,31
25459,203,0.00826609500018094,4.0,25523.0,31,1000,31
25460,204,0.008315648000461806,4.0,25524.0,31,1000,31
25461,205,0.008368697999685537,4.0,25525.0,31,1000,31
25462,206,0.008424552999713342,4.0,25526.0,31,1000,31
25463,207,0.008480798000164214,4.0,25527.0,31,1000,31
25464,208,0.00854138199974841,4.0,25528.0,31,1000,31
25465,209,0.008598729000368621,4.0,25529.0,31,1000,31
25466,210,0.008655907000502339,4.0,25530.0,31,1000,31
25467,211,0.008712503000424476,4.0,25531.0,31,1000,31
25468,212,0.008769879999817931,4.0,25532.0,31,1000,31
25469,213,0.008829311999761558,4.0,25533.0,31,1000,31
25470,214,0.008886599000106798,4.0,25534.0,31,1000,31
25471,215,0.008935480999753054,4.0,25535.0,31,1000,31
25472,216,0.008989492000182508,4.0,25536.0,31,1000,31
25473,217,0.009049295000295388,4.0,25537.0,31,1000,31
25474,218,0.00910925700009102,4.0,25538.0,31,1000,31
25475,219,0.009174468999844976,4.0,25539.0,31,1000,31
25476,220,0.009231556000486307,4.0,25540.0,31,1000,31
25477,221,0.00928983599987987,4.0,25541.0,31,1000,31
25478,222,0.00934922699980234,4.0,25542.0,31,1000,31
25479,223,0.009408789000190154,4.0,25543.0,31,1000,31
25480,224,0.009472517999711272,4.0,25544.0,31,1000,31
25481,225,0.009534705000078247,4.0,25545.0,31,1000,31
25482,226,0.009596701000191388,4.0,25546.0,31,1000,31
25483,227,0.009657104999860167,4.0,25547.0,31,1000,31
25484,228,0.009719761999804177,4.0,25548.0,31,1000,31
25485,229,0.00978488400050992,4.0,25549.0,31,1000,31
25486,230,0.009847291000369296,4.0,25550.0,31,1000,31
25487,231,0.009907544999805395,4.0,25551.0,31,1000,31
25488,232,0.0099686390003626,4.0,25552.0,31,1000,31
25489,233,0.010034202000497316,4.0,25553.0,31,1000,31
25490,234,0.01009597800020856,4.0,25554.0,31,1000,31
25491,235,0.010156721999919682,4.0,25555.0,31,1000,31
25492,236,0.010220881999885023,4.0,25556.0,31,1000,31
25493,237,0.010283229000378924,4.0,25557.0,31,1000,31
25494,238,0.010346859000492259,4.0,25558.0,31,1000,31
25495,239,0.010410607999801869,4.0,25559.0,31,1000,31
25496,240,0.01047346599989396,4.0,25560.0,31,1000,31
25497,241,0.010540362000028836,4.0,25561.0,31,1000,31
25498,242,0.010604932999740413,4.0,25562.0,31,1000,31
25499,243,0.010671017000277061,4.0,25563.0,31,1000,31
25500,244,0.010734665999734716,4.0,25564.0,31,1000,31
25501,245,0.010800900000504043,4.0,25565.0,31,1000,31
25502,246,0.010865080999792553,4.0,25566.0,31,1000,31
25503,247,0.010928579999927024,4.0,25567.0,31,1000,31
25504,248,0.010992960999828938,4.0,25568.0,31,1000,31
25505,249,0.011060257000281126,4.0,25569.0,31,1000,31
25506,250,0.01112784399992961,4.0,25570.0,31,1000,31
