,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0002999620000991854,271.0,0.0,50,10000
1,1,0.002261001000078977,269.0,2.0,50,10000
2,2,0.0025184639998769853,267.0,4.0,50,10000
3,3,0.002768432999801007,267.0,6.0,50,10000
4,4,0.0030110280004009837,267.0,8.0,50,10000
5,5,0.0032527009998375433,267.0,10.0,50,10000
6,6,0.0034968790005223127,265.0,12.0,50,10000
7,7,0.003742941000382416,265.0,14.0,50,10000
8,8,0.0039863880001576035,263.0,16.0,50,10000
9,9,0.0042256360002284055,265.0,18.0,50,10000
10,10,0.004466278000109014,263.0,20.0,50,10000
11,11,0.004706308000095305,263.0,22.0,50,10000
12,12,0.0049459470001238515,261.0,24.0,50,10000
13,13,0.005192370000258961,259.0,26.0,50,10000
14,14,0.005433662000541517,259.0,28.0,50,10000
15,15,0.005671619000167993,261.0,30.0,50,10000
16,16,0.005912050000006275,261.0,32.0,50,10000
17,17,0.006152200000542507,259.0,34.0,50,10000
18,18,0.006397440000000643,259.0,36.0,50,10000
19,19,0.006635256000663503,261.0,38.0,50,10000
20,20,0.006877571000586613,261.0,40.0,50,10000
21,21,0.007116669999959413,259.0,42.0,50,10000
22,22,0.007354676000431937,261.0,44.0,50,10000
23,23,0.007591651000439015,263.0,46.0,50,10000
24,24,0.007828234000044176,265.0,48.0,50,10000
25,25,0.008070158000009542,263.0,50.0,50,10000
26,26,0.00830763400063006,263.0,52.0,50,10000
27,27,0.008542414000658027,265.0,54.0,50,10000
28,28,0.008780279999882623,265.0,56.0,50,10000
29,29,0.009024579000652011,267.0,58.0,50,10000
30,30,0.00928526799998508,267.0,60.0,50,10000
31,31,0.009534225000606966,267.0,62.0,50,10000
32,32,0.009768744000211882,269.0,64.0,50,10000
33,33,0.010012892000304419,267.0,66.0,50,10000
34,34,0.010254916000121739,269.0,68.0,50,10000
35,35,0.010499173999960476,271.0,70.0,50,10000
36,36,0.010739706000094884,271.0,72.0,50,10000
37,37,0.01097656999991159,273.0,74.0,50,10000
38,38,0.011217160999876796,271.0,76.0,50,10000
39,39,0.011465788000350585,271.0,78.0,50,10000
40,40,0.011714865000612917,273.0,80.0,50,10000
41,41,0.011958871999922849,273.0,82.0,50,10000
42,42,0.012200506000226596,273.0,84.0,50,10000
43,43,0.012442920000466984,271.0,86.0,50,10000
44,44,0.012692519000665925,271.0,88.0,50,10000
45,45,0.012936677000652708,269.0,90.0,50,10000
46,46,0.013182979000703199,267.0,92.0,50,10000
47,47,0.013428259000647813,269.0,94.0,50,10000
48,48,0.01367722600025445,269.0,96.0,50,10000
49,49,0.013917596000283083,271.0,98.0,50,10000
50,50,0.01416047200018511,273.0,100.0,50,10000
51,51,0.014406534000045212,271.0,102.0,50,10000
52,52,0.014656182000180706,269.0,104.0,50,10000
53,53,0.01490227300018887,269.0,106.0,50,10000
54,54,0.015157632000409649,271.0,108.0,50,10000
55,55,0.015411399000186066,273.0,110.0,50,10000
56,56,0.015671576999920944,273.0,112.0,50,10000
57,57,0.015918690000034985,271.0,114.0,50,10000
58,58,0.016164862000550784,271.0,116.0,50,10000
59,59,0.016417606000686646,269.0,118.0,50,10000
60,60,0.016665842000293196,269.0,120.0,50,10000
61,61,0.016911433000132092,269.0,122.0,50,10000
62,62,0.017157304000647855,267.0,124.0,50,10000
63,63,0.017403285000000324,267.0,126.0,50,10000
64,64,0.01765631000034773,265.0,128.0,50,10000
65,65,0.01790442499986966,263.0,130.0,50,10000
66,66,0.018151709000449046,263.0,132.0,50,10000
67,67,0.018405505000373523,263.0,134.0,50,10000
68,68,0.018659862000276917,263.0,136.0,50,10000
69,69,0.018905934000031266,263.0,138.0,50,10000
70,70,0.019152567000674026,263.0,140.0,50,10000
71,71,0.019400171000597766,263.0,142.0,50,10000
72,72,0.019652083999972092,261.0,144.0,50,10000
73,73,0.019900620000044,261.0,146.0,50,10000
74,74,0.020149857000433258,261.0,148.0,50,10000
75,75,0.02039757200054737,261.0,150.0,50,10000
76,76,0.02065129800030263,261.0,152.0,50,10000
77,77,0.020900836000691925,261.0,154.0,50,10000
78,78,0.021149222000531154,261.0,156.0,50,10000
79,79,0.021397117000560684,261.0,158.0,50,10000
80,80,0.02165802600029565,259.0,160.0,50,10000
81,81,0.02191961700009415,261.0,162.0,50,10000
82,82,0.022179174000484636,261.0,164.0,50,10000
83,83,0.022435114000472822,259.0,166.0,50,10000
84,84,0.02268694600024901,261.0,168.0,50,10000
85,85,0.0229357930002152,263.0,170.0,50,10000
86,86,0.02318764600022405,261.0,172.0,50,10000
87,87,0.02343986899995798,263.0,174.0,50,10000
88,88,0.02369265300058032,265.0,176.0,50,10000
89,89,0.023941389999890816,267.0,178.0,50,10000
90,90,0.024192871000195737,267.0,180.0,50,10000
91,91,0.02444662700054323,267.0,182.0,50,10000
92,92,0.024699472000065725,265.0,184.0,50,10000
93,93,0.024955803000011656,265.0,186.0,50,10000
94,94,0.02521660200000042,265.0,188.0,50,10000
95,95,0.025478061999820056,265.0,190.0,50,10000
96,96,0.025732500000231084,265.0,192.0,50,10000
97,97,0.025988961000621202,265.0,194.0,50,10000
98,98,0.026241414000651275,267.0,196.0,50,10000
99,99,0.02649769500021648,265.0,198.0,50,10000
100,100,0.026750478999929328,263.0,200.0,50,10000
101,101,0.027005287000065437,261.0,202.0,50,10000
102,102,0.027260626000497723,261.0,204.0,50,10000
103,103,0.027515043000676087,261.0,206.0,50,10000
104,104,0.027773978999903193,261.0,208.0,50,10000
105,105,0.02803152200067416,259.0,210.0,50,10000
106,106,0.028284996999900613,259.0,212.0,50,10000
107,107,0.02855407200058835,259.0,214.0,50,10000
108,108,0.028810763000365114,259.0,216.0,50,10000
109,109,0.029071573000692297,257.0,218.0,50,10000
110,110,0.029328614999940328,257.0,220.0,50,10000
111,111,0.029594984000141267,257.0,222.0,50,10000
112,112,0.02985409000029904,259.0,224.0,50,10000
113,113,0.030110141000477597,261.0,226.0,50,10000
114,114,0.030368305000592954,261.0,228.0,50,10000
115,115,0.030626519000179542,261.0,230.0,50,10000
116,116,0.030886215999998967,259.0,232.0,50,10000
117,117,0.03114340899992385,259.0,234.0,50,10000
118,118,0.031405941000230087,257.0,236.0,50,10000
119,119,0.031663554000260774,257.0,238.0,50,10000
120,120,0.03193237899995438,257.0,240.0,50,10000
