,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
44690,1,0.0015160240000113845,24003.0,49721.0,50,1000,50
44691,2,0.0015472329996555345,24003.0,49722.0,50,1000,50
44692,3,0.0015667889992982964,24003.0,49723.0,50,1000,50
44693,4,0.0015963949999786564,24003.0,49724.0,50,1000,50
44694,5,0.0016143289994943189,24003.0,49725.0,50,1000,50
44695,6,0.0016421909995187889,24003.0,49726.0,50,1000,50
44696,7,0.0016704339996067574,24165.0,49728.0,50,1000,50
44697,8,0.0017008009999699425,24165.0,49729.0,50,1000,50
44698,9,0.0017205579997607856,24188.0,49731.0,50,1000,50
44699,10,0.0017389019994880073,24188.0,49732.0,50,1000,50
44700,11,0.0017557239998495788,24350.0,49734.0,50,1000,50
44701,12,0.0017730659992594155,24391.0,49736.0,50,1000,50
44702,13,0.0017916109991347184,24391.0,49737.0,50,1000,50
44703,14,0.0018192829993495252,24391.0,49738.0,50,1000,50
44704,15,0.001839099999415339,24391.0,49739.0,50,1000,50
44705,16,0.0018586469996080268,24532.0,49741.0,50,1000,50
44706,17,0.0018885729996327427,24730.0,49743.0,50,1000,50
44707,18,0.0019170369996572845,24730.0,49744.0,50,1000,50
44708,19,0.0019466319999992265,24730.0,49745.0,50,1000,50
44709,20,0.001966068999536219,24890.0,49747.0,50,1000,50
44710,21,0.0019952729999204166,24890.0,49748.0,50,1000,50
44711,22,0.002023585999268107,25054.0,49750.0,50,1000,50
44712,23,0.0020447059996513417,25054.0,49751.0,50,1000,50
44713,24,0.002064442999653693,25054.0,49752.0,50,1000,50
44714,25,0.002093036999212927,25131.0,49754.0,50,1000,50
44715,26,0.0021151479995751288,25131.0,49755.0,50,1000,50
44716,27,0.0021389929997894797,25131.0,49756.0,50,1000,50
44717,28,0.0021689689992854255,25168.0,49758.0,50,1000,50
44718,29,0.0021907299997110385,25168.0,49759.0,50,1000,50
44719,30,0.002212670999142574,25168.0,49760.0,50,1000,50
44720,31,0.0022381189992302097,25168.0,49761.0,50,1000,50
44721,32,0.0022680249994664337,25168.0,49762.0,50,1000,50
44722,33,0.002299072999448981,25168.0,49763.0,50,1000,50
44723,34,0.0023336579997703666,25168.0,49764.0,50,1000,50
44724,35,0.002371859999584558,25168.0,49765.0,50,1000,50
44725,36,0.0023950129998411285,25221.0,49767.0,50,1000,50
44726,37,0.0024241279998022947,25290.0,49769.0,50,1000,50
44727,38,0.002445608000016364,25298.0,49771.0,50,1000,50
44728,39,0.0024678399995536893,25298.0,49772.0,50,1000,50
44729,40,0.002495240999451198,25298.0,49773.0,50,1000,50
44730,41,0.0025158799999189796,25328.0,49775.0,50,1000,50
44731,42,0.0025361680000060005,25328.0,49776.0,50,1000,50
44732,43,0.0025645409996286617,25527.0,49778.0,50,1000,50
44733,44,0.0025945069992303615,25638.0,49780.0,50,1000,50
44734,45,0.0026324889995521517,25703.0,49782.0,50,1000,50
44735,46,0.0026674839991756016,25834.0,49784.0,50,1000,50
44736,47,0.0026965189999828,25834.0,49785.0,50,1000,50
44737,48,0.0027225079993513646,25834.0,49786.0,50,1000,50
44738,49,0.002755889999207284,25876.0,49788.0,50,1000,50
44739,50,0.0027813279994006734,25876.0,49789.0,50,1000,50
44740,51,0.0028079479998268653,25876.0,49790.0,50,1000,50
44741,52,0.0028342069999780506,26053.0,49792.0,50,1000,50
