,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0014046550004422897,0.0,100.0,True,100,0.5,500
1,1,0.28894498699992255,9.0,202.0,True,100,0.5,500
2,2,0.5103769320003266,9.0,303.0,True,100,0.5,500
3,3,0.7073676200006958,9.0,404.0,True,100,0.5,500
4,4,0.8874943540004097,9.0,505.0,True,100,0.5,500
5,5,1.1657156460005353,9.0,606.0,True,100,0.5,500
6,6,1.4770582970004398,12.0,708.0,True,100,0.5,500
7,7,1.7800622350005142,12.0,809.0,True,100,0.5,500
8,8,2.126208532000419,12.0,910.0,True,100,0.5,500
9,9,2.4346606100007193,12.0,1011.0,True,100,0.5,500
10,10,2.7708506200006013,12.0,1112.0,True,100,0.5,500
11,11,3.110712338000667,12.0,1213.0,True,100,0.5,500
12,12,3.444113575999836,12.0,1314.0,True,100,0.5,500
13,13,3.766231188999882,12.0,1415.0,True,100,0.5,500
14,14,4.104223951000677,12.0,1516.0,True,100,0.5,500
15,15,4.4295274200003405,12.0,1617.0,True,100,0.5,500
16,16,4.698776561000159,12.0,1718.0,True,100,0.5,500
17,17,4.974424245000591,12.0,1819.0,True,100,0.5,500
18,18,5.120320018000712,12.0,1920.0,True,100,0.5,500
19,19,5.344025868000244,12.0,2021.0,True,100,0.5,500
20,20,5.603474465000545,12.0,2122.0,True,100,0.5,500
21,21,5.854936251000254,12.0,2223.0,True,100,0.5,500
22,22,6.0938638349998655,12.0,2324.0,True,100,0.5,500
23,23,6.35907417999988,12.0,2425.0,True,100,0.5,500
24,24,6.600287121000292,12.0,2526.0,True,100,0.5,500
25,25,6.83659987900046,12.0,2627.0,True,100,0.5,500
26,26,7.101385046999894,12.0,2728.0,True,100,0.5,500
27,27,7.351649697000539,12.0,2829.0,True,100,0.5,500
28,28,7.585271418000048,12.0,2930.0,True,100,0.5,500
29,29,7.855428793000101,12.0,3031.0,True,100,0.5,500
30,30,8.097329254000215,12.0,3132.0,True,100,0.5,500
31,31,8.327527362000183,12.0,3233.0,True,100,0.5,500
32,32,8.600683933000255,12.0,3334.0,True,100,0.5,500
33,33,8.843489050000244,12.0,3435.0,True,100,0.5,500
34,34,9.08071084400035,12.0,3536.0,True,100,0.5,500
35,35,9.364598926000326,13.0,3638.0,True,100,0.5,500
36,36,9.617271232000348,13.0,3739.0,True,100,0.5,500
37,37,9.856243569000071,13.0,3840.0,True,100,0.5,500
38,38,10.136750158000723,13.0,3941.0,True,100,0.5,500
39,39,10.37971239000035,13.0,4042.0,True,100,0.5,500
40,40,10.609688131999974,13.0,4143.0,True,100,0.5,500
41,41,10.876506913999947,13.0,4244.0,True,100,0.5,500
42,42,11.112702272000206,13.0,4345.0,True,100,0.5,500
43,43,11.341492190000281,13.0,4446.0,True,100,0.5,500
44,44,11.620145902000331,15.0,4548.0,True,100,0.5,500
45,45,11.881979653000599,15.0,4649.0,True,100,0.5,500
46,46,12.118854336000368,15.0,4750.0,True,100,0.5,500
47,47,12.39772391400038,15.0,4851.0,True,100,0.5,500
48,48,12.660138113999892,15.0,4952.0,True,100,0.5,500
49,49,12.905474850000246,15.0,5053.0,True,100,0.5,500
50,50,13.198833326000567,15.0,5154.0,True,100,0.5,500
51,51,13.458286211000086,15.0,5255.0,True,100,0.5,500
52,52,13.706836175000717,15.0,5356.0,True,100,0.5,500
53,53,13.98898614600057,15.0,5457.0,True,100,0.5,500
54,54,14.23844310000004,15.0,5558.0,True,100,0.5,500
55,55,14.486155723000593,15.0,5659.0,True,100,0.5,500
56,56,14.755276404000142,15.0,5760.0,True,100,0.5,500
57,57,15.004304955000407,15.0,5861.0,True,100,0.5,500
58,58,15.232470361000196,15.0,5962.0,True,100,0.5,500
59,59,15.499690076000661,15.0,6063.0,True,100,0.5,500
60,60,15.753585075000046,15.0,6164.0,True,100,0.5,500
61,61,15.974691800000073,15.0,6265.0,True,100,0.5,500
62,62,16.25087235400042,15.0,6366.0,True,100,0.5,500
63,63,16.511282835000202,15.0,6467.0,True,100,0.5,500
64,64,16.741525097000704,15.0,6568.0,True,100,0.5,500
65,65,17.0169215599999,15.0,6669.0,True,100,0.5,500
66,66,17.267481924000094,15.0,6770.0,True,100,0.5,500
67,67,17.49315588599984,15.0,6871.0,True,100,0.5,500
68,68,17.788411892000113,15.0,6972.0,True,100,0.5,500
69,69,18.031610888000614,15.0,7073.0,True,100,0.5,500
70,70,18.273430025999915,15.0,7174.0,True,100,0.5,500
71,71,18.55182274800063,15.0,7275.0,True,100,0.5,500
72,72,18.793360958999983,15.0,7376.0,True,100,0.5,500
73,73,19.033596557000237,15.0,7477.0,True,100,0.5,500
74,74,19.30799465600012,15.0,7578.0,True,100,0.5,500
75,75,19.57938146700053,15.0,7679.0,True,100,0.5,500
76,76,19.79847670900017,15.0,7780.0,True,100,0.5,500
77,77,20.081406111999968,15.0,7881.0,True,100,0.5,500
78,78,20.32132142899991,15.0,7982.0,True,100,0.5,500
79,79,20.547204444000272,15.0,8083.0,True,100,0.5,500
80,80,20.8285464290002,15.0,8184.0,True,100,0.5,500
81,81,21.073899766000068,15.0,8285.0,True,100,0.5,500
82,82,21.31902975400044,15.0,8386.0,True,100,0.5,500
83,83,21.591287539000405,15.0,8487.0,True,100,0.5,500
84,84,21.84076650499992,15.0,8588.0,True,100,0.5,500
85,85,22.06880222700056,15.0,8689.0,True,100,0.5,500
86,86,22.342570296000304,15.0,8790.0,True,100,0.5,500
87,87,22.597775031999845,15.0,8891.0,True,100,0.5,500
88,88,22.824512629999845,15.0,8992.0,True,100,0.5,500
89,89,23.103247574000306,15.0,9093.0,True,100,0.5,500
90,90,23.33294069600015,15.0,9194.0,True,100,0.5,500
91,91,23.576375725000617,15.0,9295.0,True,100,0.5,500
92,92,23.82996059300058,15.0,9396.0,True,100,0.5,500
93,93,24.06855797800017,15.0,9497.0,True,100,0.5,500
94,94,24.293954077999842,15.0,9598.0,True,100,0.5,500
95,95,24.542723303000457,15.0,9699.0,True,100,0.5,500
96,96,24.782248006999907,15.0,9800.0,True,100,0.5,500
97,97,25.00831829300023,15.0,9901.0,True,100,0.5,500
98,98,25.254001179000625,15.0,10002.0,True,100,0.5,500
99,99,25.496045859000333,15.0,10103.0,True,100,0.5,500
100,100,25.738239119000355,15.0,10204.0,True,100,0.5,500
101,101,25.963999433000026,15.0,10305.0,True,100,0.5,500
102,102,26.237762642000234,15.0,10406.0,True,100,0.5,500
103,103,26.469885612000326,15.0,10507.0,True,100,0.5,500
104,104,26.706792775000395,15.0,10608.0,True,100,0.5,500
105,105,26.965239021999878,15.0,10709.0,True,100,0.5,500
106,106,27.20288224700016,15.0,10810.0,True,100,0.5,500
107,107,27.424305997000374,15.0,10911.0,True,100,0.5,500
108,108,27.689829810000447,15.0,11012.0,True,100,0.5,500
