,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.003722131999893463,27501.0,200.0,200,0.2,1000
1,1,0.014226846999918052,28922.0,402.0,200,0.2,1000
2,2,0.022519001000546268,30289.0,604.0,200,0.2,1000
3,3,0.031247284000528452,30289.0,805.0,200,0.2,1000
4,4,0.04098513999997522,30289.0,1006.0,200,0.2,1000
5,5,0.05057557000054658,30575.0,1208.0,200,0.2,1000
6,6,0.06069250800010195,31126.0,1410.0,200,0.2,1000
7,7,0.07017414300025848,31126.0,1611.0,200,0.2,1000
8,8,0.07929115600018122,31779.0,1813.0,200,0.2,1000
9,9,0.08873001099982503,31779.0,2014.0,200,0.2,1000
10,10,0.09790442000030453,31916.0,2216.0,200,0.2,1000
11,11,0.10785448499973427,33054.0,2418.0,200,0.2,1000
12,12,0.1171304350000355,33054.0,2619.0,200,0.2,1000
13,13,0.1263163160001568,33839.0,2821.0,200,0.2,1000
14,14,0.13519854700007272,33839.0,3022.0,200,0.2,1000
15,15,0.14317202399979578,34011.0,3224.0,200,0.2,1000
16,16,0.15100779200020042,34691.0,3426.0,200,0.2,1000
17,17,0.1587563470002351,35967.0,3628.0,200,0.2,1000
18,18,0.16704907300027116,36047.0,3830.0,200,0.2,1000
19,19,0.17474745300023642,36047.0,4031.0,200,0.2,1000
20,20,0.18257603799975186,37014.0,4233.0,200,0.2,1000
21,21,0.1904850640003133,37014.0,4434.0,200,0.2,1000
22,22,0.19898777399976098,37014.0,4635.0,200,0.2,1000
23,23,0.20631295499970292,37014.0,4836.0,200,0.2,1000
24,24,0.2138613440001791,37236.0,5038.0,200,0.2,1000
25,25,0.22153110100043705,37236.0,5239.0,200,0.2,1000
26,26,0.22889382199991815,37701.0,5441.0,200,0.2,1000
27,27,0.23656328800007032,37856.0,5643.0,200,0.2,1000
28,28,0.2439059520002047,38614.0,5845.0,200,0.2,1000
29,29,0.25128231800044887,39311.0,6047.0,200,0.2,1000
30,30,0.2586593759997413,39311.0,6248.0,200,0.2,1000
31,31,0.26598252300027525,39311.0,6449.0,200,0.2,1000
32,32,0.27314852600011363,39366.0,6651.0,200,0.2,1000
33,33,0.2804429389998404,39366.0,6852.0,200,0.2,1000
34,34,0.28769242700036557,39366.0,7053.0,200,0.2,1000
35,35,0.2949632059999203,39538.0,7255.0,200,0.2,1000
36,36,0.3022759830000723,39583.0,7457.0,200,0.2,1000
37,37,0.310347133000505,40008.0,7659.0,200,0.2,1000
38,38,0.31906683899978816,40008.0,7860.0,200,0.2,1000
39,39,0.3275320789998659,40126.0,8062.0,200,0.2,1000
40,40,0.3363908560004347,40234.0,8264.0,200,0.2,1000
41,41,0.3440921930005061,40234.0,8465.0,200,0.2,1000
42,42,0.3515235720005876,40598.0,8667.0,200,0.2,1000
43,43,0.3588113730002078,40598.0,8868.0,200,0.2,1000
44,44,0.3662143700003071,40902.0,9070.0,200,0.2,1000
45,45,0.37357290300042223,41458.0,9272.0,200,0.2,1000
46,46,0.3811221240002851,41458.0,9473.0,200,0.2,1000
47,47,0.3886623580001469,41458.0,9674.0,200,0.2,1000
48,48,0.3965696810000736,41458.0,9875.0,200,0.2,1000
49,49,0.40475270099977934,41458.0,10076.0,200,0.2,1000
50,50,0.41263632899972436,41650.0,10278.0,200,0.2,1000
51,51,0.420630825000444,41650.0,10479.0,200,0.2,1000
52,52,0.4283584209997571,41880.0,10681.0,200,0.2,1000
53,53,0.4357909919999656,41939.0,10883.0,200,0.2,1000
54,54,0.44312337700011994,42021.0,11085.0,200,0.2,1000
55,55,0.45077850600046077,42124.0,11287.0,200,0.2,1000
56,56,0.45816866899986053,42275.0,11489.0,200,0.2,1000
57,57,0.4653694059998088,42275.0,11690.0,200,0.2,1000
58,58,0.4727670330003093,42747.0,11892.0,200,0.2,1000
59,59,0.4800605740001629,42747.0,12093.0,200,0.2,1000
60,60,0.4874052410004879,42747.0,12294.0,200,0.2,1000
61,61,0.4947481750004954,42869.0,12496.0,200,0.2,1000
62,62,0.502078585000163,42949.0,12698.0,200,0.2,1000
63,63,0.5094562750000478,42949.0,12899.0,200,0.2,1000
64,64,0.5167700439997134,42949.0,13100.0,200,0.2,1000
65,65,0.5241847530005543,43014.0,13302.0,200,0.2,1000
66,66,0.5322674740000366,43271.0,13504.0,200,0.2,1000
67,67,0.5404556940002294,43271.0,13705.0,200,0.2,1000
68,68,0.5484775720005928,43271.0,13906.0,200,0.2,1000
69,69,0.556340521000493,43330.0,14108.0,200,0.2,1000
70,70,0.563910732000295,43330.0,14309.0,200,0.2,1000
71,71,0.571631884999988,43374.0,14511.0,200,0.2,1000
72,72,0.5795386070003588,43935.0,14713.0,200,0.2,1000
73,73,0.5877728820005359,43935.0,14914.0,200,0.2,1000
74,74,0.5952385970003888,43935.0,15115.0,200,0.2,1000
75,75,0.602532828999756,44080.0,15317.0,200,0.2,1000
76,76,0.6102305390004403,44159.0,15519.0,200,0.2,1000
77,77,0.6184787410002173,44159.0,15720.0,200,0.2,1000
78,78,0.6266231380004683,44159.0,15921.0,200,0.2,1000
79,79,0.6346192370001518,44303.0,16123.0,200,0.2,1000
80,80,0.6428993589997845,44303.0,16324.0,200,0.2,1000
81,81,0.6516407959998105,44429.0,16526.0,200,0.2,1000
82,82,0.6599459460003345,44450.0,16728.0,200,0.2,1000
83,83,0.6680895110002893,44675.0,16930.0,200,0.2,1000
84,84,0.6761181620004209,44675.0,17131.0,200,0.2,1000
85,85,0.6841215340000417,44675.0,17332.0,200,0.2,1000
86,86,0.691446124000322,44675.0,17533.0,200,0.2,1000
87,87,0.7001468950002163,44675.0,17734.0,200,0.2,1000
88,88,0.7083612440001161,44885.0,17936.0,200,0.2,1000
89,89,0.7164747830001943,44885.0,18137.0,200,0.2,1000
90,90,0.7246703360005995,44897.0,18339.0,200,0.2,1000
91,91,0.7331416670003819,45034.0,18541.0,200,0.2,1000
92,92,0.7408540340002219,45034.0,18742.0,200,0.2,1000
93,93,0.7494822190001287,45093.0,18944.0,200,0.2,1000
94,94,0.7573829590000969,45093.0,19145.0,200,0.2,1000
95,95,0.7653984850003326,45197.0,19347.0,200,0.2,1000
96,96,0.7733977600000799,45197.0,19548.0,200,0.2,1000
97,97,0.7814109210003153,45197.0,19749.0,200,0.2,1000
98,98,0.789170517000457,45258.0,19951.0,200,0.2,1000
99,99,0.7980520569999499,45306.0,20153.0,200,0.2,1000
100,100,0.8062180249999074,45427.0,20355.0,200,0.2,1000
101,101,0.8149507959997209,45509.0,20557.0,200,0.2,1000
102,102,0.8233739460001743,45509.0,20758.0,200,0.2,1000
103,103,0.8317596659999253,45525.0,20960.0,200,0.2,1000
104,104,0.8391861970003447,45525.0,21161.0,200,0.2,1000
105,105,0.8457041140000001,45525.0,21362.0,200,0.2,1000
106,106,0.8522974210000029,45525.0,21563.0,200,0.2,1000
107,107,0.8589552000003096,45751.0,21765.0,200,0.2,1000
108,108,0.8672372150003866,45751.0,21966.0,200,0.2,1000
109,109,0.8754017199998998,45751.0,22167.0,200,0.2,1000
110,110,0.8835535019998133,45828.0,22369.0,200,0.2,1000
111,111,0.8919578670002011,45828.0,22570.0,200,0.2,1000
112,112,0.9002548400003434,45828.0,22771.0,200,0.2,1000
113,113,0.9087373920001482,45858.0,22973.0,200,0.2,1000
114,114,0.9170491129998481,45892.0,23175.0,200,0.2,1000
115,115,0.9251615909997781,46013.0,23377.0,200,0.2,1000
116,116,0.933163931999843,46013.0,23578.0,200,0.2,1000
117,117,0.9411378089998834,46193.0,23780.0,200,0.2,1000
118,118,0.9490455730001486,46193.0,23981.0,200,0.2,1000
119,119,0.9570461700004671,46193.0,24182.0,200,0.2,1000
120,120,0.9652766690005592,46193.0,24383.0,200,0.2,1000
121,121,0.9744751340003859,46193.0,24584.0,200,0.2,1000
122,122,0.9834804160000203,46193.0,24785.0,200,0.2,1000
123,123,0.9924857579999298,46193.0,24986.0,200,0.2,1000
124,124,0.9984559770000487,46193.0,25187.0,200,0.2,1000
125,125,1.0026831670002139,46193.0,25388.0,200,0.2,1000
126,126,1.0073346019999008,46193.0,25589.0,200,0.2,1000
127,127,1.0120623510001678,46193.0,25790.0,200,0.2,1000
128,128,1.0173489870003323,46220.0,25992.0,200,0.2,1000
129,129,1.0226443399997152,46220.0,26193.0,200,0.2,1000
130,130,1.0275601210005334,46422.0,26395.0,200,0.2,1000
131,131,1.0325246840002364,46422.0,26596.0,200,0.2,1000
132,132,1.0377121350002199,46422.0,26797.0,200,0.2,1000
133,133,1.0423894180003117,46422.0,26998.0,200,0.2,1000
134,134,1.0472661760004485,46422.0,27199.0,200,0.2,1000
135,135,1.0525646659998529,46422.0,27400.0,200,0.2,1000
136,136,1.0574816389998887,46422.0,27601.0,200,0.2,1000
137,137,1.0623144640003375,46422.0,27802.0,200,0.2,1000
138,138,1.0677071099999011,46422.0,28003.0,200,0.2,1000
139,139,1.0729081460003727,46422.0,28204.0,200,0.2,1000
140,140,1.0777571919998081,46422.0,28405.0,200,0.2,1000
141,141,1.0830411940005433,46422.0,28606.0,200,0.2,1000
142,142,1.088042535000568,46422.0,28807.0,200,0.2,1000
143,143,1.092445534000035,46491.0,29009.0,200,0.2,1000
144,144,1.0970425579998846,46491.0,29210.0,200,0.2,1000
145,145,1.1017480440004874,46491.0,29411.0,200,0.2,1000
146,146,1.1062191010005336,46491.0,29612.0,200,0.2,1000
147,147,1.110483270000259,46491.0,29813.0,200,0.2,1000
148,148,1.1149719100003495,46491.0,30014.0,200,0.2,1000
149,149,1.1195588139999018,46491.0,30215.0,200,0.2,1000
150,150,1.1241816649999237,46492.0,30417.0,200,0.2,1000
151,151,1.128682528000354,46492.0,30618.0,200,0.2,1000
152,152,1.1331732720000218,46507.0,30820.0,200,0.2,1000
153,153,1.137598082000295,46507.0,31021.0,200,0.2,1000
154,154,1.142019005000293,46507.0,31222.0,200,0.2,1000
155,155,1.1464743530004853,46507.0,31423.0,200,0.2,1000
156,156,1.150837617000434,46507.0,31624.0,200,0.2,1000
157,157,1.1552428410004723,46533.0,31826.0,200,0.2,1000
158,158,1.159635680000065,46533.0,32027.0,200,0.2,1000
159,159,1.1638857230000212,46561.0,32229.0,200,0.2,1000
160,160,1.1681241140004204,46561.0,32430.0,200,0.2,1000
161,161,1.172546920000059,46561.0,32631.0,200,0.2,1000
162,162,1.1767811320005421,46609.0,32833.0,200,0.2,1000
163,163,1.1811521620002168,46609.0,33034.0,200,0.2,1000
164,164,1.1858745500003351,46621.0,33236.0,200,0.2,1000
165,165,1.1903795099997296,46621.0,33437.0,200,0.2,1000
166,166,1.1952006540004732,46621.0,33638.0,200,0.2,1000
167,167,1.2000122099998407,46621.0,33839.0,200,0.2,1000
