,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.004339028999311267,0.0,500.0,500,0.2,1000
1,1,0.015752007999253692,12.0,1002.0,500,0.2,1000
2,2,0.026270378999470267,12.0,1503.0,500,0.2,1000
3,3,0.03636964299948886,12.0,2004.0,500,0.2,1000
4,4,0.046914061999814294,12.0,2505.0,500,0.2,1000
5,5,0.058093803999327065,15.0,3007.0,500,0.2,1000
6,6,0.06955761700010044,15.0,3508.0,500,0.2,1000
7,7,0.08027049299926148,18.0,4010.0,500,0.2,1000
8,8,0.09001866800008429,18.0,4511.0,500,0.2,1000
9,9,0.10047759799999767,18.0,5012.0,500,0.2,1000
10,10,0.11010881399943173,18.0,5513.0,500,0.2,1000
11,11,0.11963428199942427,20.0,6015.0,500,0.2,1000
12,12,0.12925059999997757,22.0,6517.0,500,0.2,1000
13,13,0.1405311909993543,22.0,7018.0,500,0.2,1000
14,14,0.15191387199956807,24.0,7520.0,500,0.2,1000
15,15,0.1633859819994541,25.0,8022.0,500,0.2,1000
16,16,0.17585985099958634,25.0,8523.0,500,0.2,1000
17,17,0.18827353599954222,25.0,9024.0,500,0.2,1000
18,18,0.20109117999982118,29.0,9526.0,500,0.2,1000
19,19,0.21446473600008176,30.0,10028.0,500,0.2,1000
20,20,0.22702871399997093,30.0,10529.0,500,0.2,1000
21,21,0.2399999149993164,31.0,11031.0,500,0.2,1000
22,22,0.25247623899940663,31.0,11532.0,500,0.2,1000
23,23,0.26510686199981137,31.0,12033.0,500,0.2,1000
24,24,0.2775638679995609,31.0,12534.0,500,0.2,1000
25,25,0.29078637099974003,38.0,13036.0,500,0.2,1000
26,26,0.30349483999998483,38.0,13537.0,500,0.2,1000
27,27,0.31641127900002175,38.0,14038.0,500,0.2,1000
28,28,0.32872473699990223,38.0,14539.0,500,0.2,1000
29,29,0.3421751870000662,38.0,15040.0,500,0.2,1000
30,30,0.3548661129998436,38.0,15541.0,500,0.2,1000
31,31,0.3674953429999732,38.0,16042.0,500,0.2,1000
32,32,0.37992879600005836,39.0,16544.0,500,0.2,1000
33,33,0.3930170369994812,44.0,17046.0,500,0.2,1000
34,34,0.4046098629996777,44.0,17547.0,500,0.2,1000
35,35,0.41694939999979397,45.0,18049.0,500,0.2,1000
36,36,0.4288188849996004,45.0,18550.0,500,0.2,1000
37,37,0.44210424599987164,45.0,19051.0,500,0.2,1000
38,38,0.4559929679999186,45.0,19552.0,500,0.2,1000
39,39,0.4723349119994964,45.0,20053.0,500,0.2,1000
40,40,0.48880949599970336,45.0,20554.0,500,0.2,1000
41,41,0.5025312249999843,45.0,21055.0,500,0.2,1000
42,42,0.514906458999576,45.0,21556.0,500,0.2,1000
43,43,0.5274589049995484,45.0,22057.0,500,0.2,1000
44,44,0.5396400849995189,46.0,22559.0,500,0.2,1000
45,45,0.5526692749999711,46.0,23060.0,500,0.2,1000
46,46,0.5661257069996282,46.0,23561.0,500,0.2,1000
47,47,0.578915066999798,50.0,24063.0,500,0.2,1000
48,48,0.5919119469999714,50.0,24564.0,500,0.2,1000
49,49,0.6045732570000837,50.0,25065.0,500,0.2,1000
50,50,0.6175780819994543,50.0,25566.0,500,0.2,1000
51,51,0.6297451149994231,50.0,26067.0,500,0.2,1000
52,52,0.6416958519994296,50.0,26568.0,500,0.2,1000
53,53,0.6538194039994778,51.0,27070.0,500,0.2,1000
54,54,0.6658797769996454,51.0,27571.0,500,0.2,1000
55,55,0.6794362159998855,52.0,28073.0,500,0.2,1000
56,56,0.6936334579995673,52.0,28574.0,500,0.2,1000
57,57,0.7084160969998266,52.0,29075.0,500,0.2,1000
58,58,0.7219420589999572,53.0,29577.0,500,0.2,1000
59,59,0.7343442029996368,56.0,30079.0,500,0.2,1000
60,60,0.7467087969998829,57.0,30581.0,500,0.2,1000
61,61,0.7605792949998431,57.0,31082.0,500,0.2,1000
62,62,0.7745076329993026,57.0,31583.0,500,0.2,1000
63,63,0.7867866449996654,57.0,32084.0,500,0.2,1000
64,64,0.7990753469994161,57.0,32585.0,500,0.2,1000
65,65,0.8109682459999021,57.0,33086.0,500,0.2,1000
66,66,0.8230670009997993,59.0,33588.0,500,0.2,1000
67,67,0.8347879670000111,59.0,34089.0,500,0.2,1000
68,68,0.8483732009999585,59.0,34590.0,500,0.2,1000
69,69,0.8636409199998525,59.0,35091.0,500,0.2,1000
70,70,0.8788901849993636,59.0,35592.0,500,0.2,1000
71,71,0.8909627109997018,59.0,36093.0,500,0.2,1000
72,72,0.9031933930000378,60.0,36595.0,500,0.2,1000
73,73,0.916498560999571,62.0,37097.0,500,0.2,1000
74,74,0.9300914989999001,62.0,37598.0,500,0.2,1000
75,75,0.9435617359995376,62.0,38099.0,500,0.2,1000
76,76,0.9561457820000214,64.0,38601.0,500,0.2,1000
77,77,0.9693573639997339,65.0,39103.0,500,0.2,1000
78,78,0.9812702709996302,65.0,39604.0,500,0.2,1000
79,79,0.9936998659995879,65.0,40105.0,500,0.2,1000
80,80,1.0055609549999645,67.0,40607.0,500,0.2,1000
81,81,1.0180513049999718,67.0,41108.0,500,0.2,1000
82,82,1.0308401049996974,67.0,41609.0,500,0.2,1000
83,83,1.0436292239992326,69.0,42111.0,500,0.2,1000
84,84,1.0559430729999804,69.0,42612.0,500,0.2,1000
85,85,1.0682968259998233,69.0,43113.0,500,0.2,1000
86,86,1.0804252869993434,69.0,43614.0,500,0.2,1000
87,87,1.0925884529997347,70.0,44116.0,500,0.2,1000
88,88,1.104440985999645,70.0,44617.0,500,0.2,1000
89,89,1.1168258779998723,70.0,45118.0,500,0.2,1000
90,90,1.129958952999914,72.0,45620.0,500,0.2,1000
91,91,1.1465800910000326,72.0,46121.0,500,0.2,1000
92,92,1.1631951579993256,78.0,46623.0,500,0.2,1000
93,93,1.1780375089992958,79.0,47125.0,500,0.2,1000
94,94,1.1942444509995767,79.0,47626.0,500,0.2,1000
95,95,1.2091401319994475,79.0,48127.0,500,0.2,1000
96,96,1.2226189160001013,79.0,48628.0,500,0.2,1000
97,97,1.2354867439998998,79.0,49129.0,500,0.2,1000
98,98,1.2490345169999273,79.0,49630.0,500,0.2,1000
99,99,1.2622207409995099,79.0,50131.0,500,0.2,1000
100,100,1.2753083519992288,79.0,50632.0,500,0.2,1000
101,101,1.2876672849997703,81.0,51134.0,500,0.2,1000
102,102,1.3003616070000135,81.0,51635.0,500,0.2,1000
103,103,1.3138113759996486,81.0,52136.0,500,0.2,1000
104,104,1.3283108939995145,81.0,52637.0,500,0.2,1000
105,105,1.3419725309995556,81.0,53138.0,500,0.2,1000
106,106,1.3546844269994835,81.0,53639.0,500,0.2,1000
107,107,1.3677489229994535,81.0,54140.0,500,0.2,1000
108,108,1.3809016049999627,81.0,54641.0,500,0.2,1000
109,109,1.394676032999996,82.0,55143.0,500,0.2,1000
110,110,1.4096542489996864,82.0,55644.0,500,0.2,1000
111,111,1.4253407939995668,82.0,56145.0,500,0.2,1000
112,112,1.440356530999452,85.0,56647.0,500,0.2,1000
113,113,1.4549484229992231,85.0,57148.0,500,0.2,1000
114,114,1.4703347049999138,85.0,57649.0,500,0.2,1000
115,115,1.485012617999928,85.0,58150.0,500,0.2,1000
116,116,1.5000141880000228,85.0,58651.0,500,0.2,1000
117,117,1.5166989149993242,85.0,59152.0,500,0.2,1000
118,118,1.5312362049999138,85.0,59653.0,500,0.2,1000
119,119,1.5455245670000295,85.0,60154.0,500,0.2,1000
120,120,1.5604448839994802,85.0,60655.0,500,0.2,1000
121,121,1.5749616149996655,85.0,61156.0,500,0.2,1000
122,122,1.588904339999317,85.0,61657.0,500,0.2,1000
123,123,1.6031091049999304,85.0,62158.0,500,0.2,1000
124,124,1.6166499649998514,85.0,62659.0,500,0.2,1000
125,125,1.631380707000062,85.0,63160.0,500,0.2,1000
126,126,1.6460873339992759,85.0,63661.0,500,0.2,1000
127,127,1.6605157690000851,85.0,64162.0,500,0.2,1000
128,128,1.6786400060000233,85.0,64663.0,500,0.2,1000
129,129,1.6939432330000272,85.0,65164.0,500,0.2,1000
130,130,1.7083264329994563,85.0,65665.0,500,0.2,1000
131,131,1.7236977570000818,85.0,66166.0,500,0.2,1000
132,132,1.737389138999788,85.0,66667.0,500,0.2,1000
133,133,1.751531086999421,86.0,67169.0,500,0.2,1000
134,134,1.7661412629995539,86.0,67670.0,500,0.2,1000
135,135,1.7806158749999668,86.0,68171.0,500,0.2,1000
136,136,1.7940421789999164,86.0,68672.0,500,0.2,1000
137,137,1.8071296600001006,86.0,69173.0,500,0.2,1000
138,138,1.8205452449992663,88.0,69675.0,500,0.2,1000
139,139,1.8333796699998857,88.0,70176.0,500,0.2,1000
140,140,1.8464515599998776,88.0,70677.0,500,0.2,1000
141,141,1.8602534199999354,88.0,71178.0,500,0.2,1000
142,142,1.87485433799975,88.0,71679.0,500,0.2,1000
143,143,1.891631598999993,88.0,72180.0,500,0.2,1000
144,144,1.9081727979992138,89.0,72682.0,500,0.2,1000
145,145,1.9255725359998905,89.0,73183.0,500,0.2,1000
146,146,1.944281790999412,89.0,73684.0,500,0.2,1000
147,147,1.9623961799998142,89.0,74185.0,500,0.2,1000
148,148,1.9797439219992157,89.0,74686.0,500,0.2,1000
149,149,1.9978172040000572,89.0,75187.0,500,0.2,1000
150,150,2.0151458989994353,91.0,75689.0,500,0.2,1000
151,151,2.0316593449997526,91.0,76190.0,500,0.2,1000
152,152,2.0476298730000053,91.0,76691.0,500,0.2,1000
153,153,2.0645926719998897,91.0,77192.0,500,0.2,1000
154,154,2.0811955760000274,91.0,77693.0,500,0.2,1000
155,155,2.0969242599994686,92.0,78195.0,500,0.2,1000
156,156,2.1115332139997918,92.0,78696.0,500,0.2,1000
157,157,2.12567254699934,92.0,79197.0,500,0.2,1000
158,158,2.1401740789997348,94.0,79699.0,500,0.2,1000
159,159,2.154458453999723,97.0,80201.0,500,0.2,1000
160,160,2.1687050880000243,97.0,80702.0,500,0.2,1000
161,161,2.1857697879995612,97.0,81203.0,500,0.2,1000
162,162,2.200966523999341,97.0,81704.0,500,0.2,1000
163,163,2.2147899439996763,97.0,82205.0,500,0.2,1000
164,164,2.2286985239998103,97.0,82706.0,500,0.2,1000
165,165,2.2421418809999523,97.0,83207.0,500,0.2,1000
166,166,2.255699913999706,97.0,83708.0,500,0.2,1000
167,167,2.26976655999988,97.0,84209.0,500,0.2,1000
168,168,2.2848639699996056,97.0,84710.0,500,0.2,1000
169,169,2.3000057029994423,97.0,85211.0,500,0.2,1000
170,170,2.314667986999666,97.0,85712.0,500,0.2,1000
171,171,2.3283572849995835,97.0,86213.0,500,0.2,1000
172,172,2.3417454789996555,97.0,86714.0,500,0.2,1000
173,173,2.356725588999325,97.0,87215.0,500,0.2,1000
174,174,2.3706478249996508,97.0,87716.0,500,0.2,1000
175,175,2.3842880409993086,97.0,88217.0,500,0.2,1000
176,176,2.3979514809998363,101.0,88719.0,500,0.2,1000
177,177,2.4110922509999,101.0,89220.0,500,0.2,1000
178,178,2.4272304729993266,101.0,89721.0,500,0.2,1000
179,179,2.4412969189997966,101.0,90222.0,500,0.2,1000
180,180,2.4555978049993428,103.0,90724.0,500,0.2,1000
181,181,2.47516461899977,103.0,91225.0,500,0.2,1000
182,182,2.4893504689998736,103.0,91726.0,500,0.2,1000
183,183,2.502737159999924,103.0,92227.0,500,0.2,1000
184,184,2.5163248579992796,103.0,92728.0,500,0.2,1000
185,185,2.529555485999481,103.0,93229.0,500,0.2,1000
186,186,2.5428780659995027,103.0,93730.0,500,0.2,1000
187,187,2.5562583359997006,103.0,94231.0,500,0.2,1000
188,188,2.5700991379999323,103.0,94732.0,500,0.2,1000
189,189,2.5843717409998135,103.0,95233.0,500,0.2,1000
190,190,2.5999018019992945,103.0,95734.0,500,0.2,1000
191,191,2.6149717309999687,103.0,96235.0,500,0.2,1000
192,192,2.629764418999912,103.0,96736.0,500,0.2,1000
193,193,2.644741864000025,103.0,97237.0,500,0.2,1000
194,194,2.660714925999855,103.0,97738.0,500,0.2,1000
195,195,2.6778127289999247,103.0,98239.0,500,0.2,1000
196,196,2.693363318999218,103.0,98740.0,500,0.2,1000
197,197,2.709776836999481,103.0,99241.0,500,0.2,1000
198,198,2.7255368199994336,103.0,99742.0,500,0.2,1000
199,199,2.740210955999828,103.0,100243.0,500,0.2,1000
200,200,2.7550340620000497,103.0,100744.0,500,0.2,1000
201,201,2.76989787399998,103.0,101245.0,500,0.2,1000
202,202,2.784831416000088,103.0,101746.0,500,0.2,1000
203,203,2.7993792549996215,103.0,102247.0,500,0.2,1000
204,204,2.813633302999733,103.0,102748.0,500,0.2,1000
205,205,2.8280884779996995,103.0,103249.0,500,0.2,1000
206,206,2.8415823599998475,103.0,103750.0,500,0.2,1000
207,207,2.855457978999766,104.0,104252.0,500,0.2,1000
208,208,2.8695835949993125,104.0,104753.0,500,0.2,1000
209,209,2.8836506119996557,104.0,105254.0,500,0.2,1000
210,210,2.89717458099949,104.0,105755.0,500,0.2,1000
211,211,2.911362934999488,104.0,106256.0,500,0.2,1000
212,212,2.9281519179994575,104.0,106757.0,500,0.2,1000
213,213,2.945241394999357,104.0,107258.0,500,0.2,1000
214,214,2.9609000679993187,104.0,107759.0,500,0.2,1000
215,215,2.9781368109997857,104.0,108260.0,500,0.2,1000
216,216,2.9935936550000406,104.0,108761.0,500,0.2,1000
217,217,3.0077635449997615,104.0,109262.0,500,0.2,1000
218,218,3.0213340909995168,104.0,109763.0,500,0.2,1000
219,219,3.0360675080000874,104.0,110264.0,500,0.2,1000
220,220,3.0515833330000532,105.0,110766.0,500,0.2,1000
221,221,3.0679409969998233,105.0,111267.0,500,0.2,1000
222,222,3.082490408999547,105.0,111768.0,500,0.2,1000
223,223,3.096454343000005,105.0,112269.0,500,0.2,1000
224,224,3.1099616399997103,105.0,112770.0,500,0.2,1000
225,225,3.12374791000002,105.0,113271.0,500,0.2,1000
226,226,3.1376958439996088,105.0,113772.0,500,0.2,1000
227,227,3.1509202899997035,105.0,114273.0,500,0.2,1000
228,228,3.1648641169995244,105.0,114774.0,500,0.2,1000
229,229,3.1798695939996833,105.0,115275.0,500,0.2,1000
230,230,3.195961329000056,105.0,115776.0,500,0.2,1000
231,231,3.2109683989992845,109.0,116278.0,500,0.2,1000
232,232,3.2246684080000705,109.0,116779.0,500,0.2,1000
233,233,3.2390843599996515,109.0,117280.0,500,0.2,1000
234,234,3.253176483999596,109.0,117781.0,500,0.2,1000
235,235,3.269271815999673,109.0,118282.0,500,0.2,1000
236,236,3.284397177999381,109.0,118783.0,500,0.2,1000
237,237,3.2985063549995175,109.0,119284.0,500,0.2,1000
238,238,3.312311149999914,109.0,119785.0,500,0.2,1000
239,239,3.325811633999365,109.0,120286.0,500,0.2,1000
240,240,3.3395171829997707,109.0,120787.0,500,0.2,1000
241,241,3.354599786000108,109.0,121288.0,500,0.2,1000
242,242,3.3695155549994524,109.0,121789.0,500,0.2,1000
243,243,3.3838769240001056,109.0,122290.0,500,0.2,1000
244,244,3.3990551959996083,109.0,122791.0,500,0.2,1000
245,245,3.4136799289999544,109.0,123292.0,500,0.2,1000
246,246,3.4299510900000314,109.0,123793.0,500,0.2,1000
247,247,3.446622261999437,109.0,124294.0,500,0.2,1000
248,248,3.463458112999433,109.0,124795.0,500,0.2,1000
249,249,3.47949736999999,110.0,125297.0,500,0.2,1000
250,250,3.4946728759996404,110.0,125798.0,500,0.2,1000
251,251,3.509147447999567,115.0,126300.0,500,0.2,1000
252,252,3.5245663910000076,115.0,126801.0,500,0.2,1000
253,253,3.5395502379997197,115.0,127302.0,500,0.2,1000
254,254,3.553915204000077,115.0,127803.0,500,0.2,1000
255,255,3.5682419380000283,115.0,128304.0,500,0.2,1000
256,256,3.5838169939997897,115.0,128805.0,500,0.2,1000
257,257,3.5992732169997907,115.0,129306.0,500,0.2,1000
258,258,3.6145319099996414,115.0,129807.0,500,0.2,1000
259,259,3.6287257639996824,115.0,130308.0,500,0.2,1000
260,260,3.64236615199934,115.0,130809.0,500,0.2,1000
261,261,3.656511164999756,115.0,131310.0,500,0.2,1000
262,262,3.6728137459995196,115.0,131811.0,500,0.2,1000
263,263,3.689841215999877,115.0,132312.0,500,0.2,1000
264,264,3.706134068999745,115.0,132813.0,500,0.2,1000
265,265,3.7211291869998604,115.0,133314.0,500,0.2,1000
266,266,3.736701095999706,115.0,133815.0,500,0.2,1000
267,267,3.750998224999421,115.0,134316.0,500,0.2,1000
268,268,3.765104125000107,115.0,134817.0,500,0.2,1000
269,269,3.7818291979992864,115.0,135318.0,500,0.2,1000
270,270,3.7973598109992963,115.0,135819.0,500,0.2,1000
271,271,3.81177122400004,115.0,136320.0,500,0.2,1000
272,272,3.825865862999308,115.0,136821.0,500,0.2,1000
